,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
162,Karaoke,Drake,Thank Me Later (Int'l Version),0.756,0.658,0,-7.124,1,0.11,0.00901,0.0188,0.0805,0.954,151.027
163,The Resistance,Drake,Thank Me Later (Int'l Version),0.439,0.738,0,-8.123,1,0.186,0.83,0.0,0.116,0.63,81.475
164,Over,Drake,Thank Me Later (Int'l Version),0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093
165,Show Me A Good Time,Drake,Thank Me Later (Int'l Version),0.665,0.734,6,-6.066,0,0.117,0.0385,0.0,0.116,0.706,128.311
166,Up All Night,Drake,Thank Me Later (Int'l Version),0.606,0.809,7,-4.667,1,0.279,0.00778,1.59e-05,0.336,0.272,156.337
167,Fancy,Drake,Thank Me Later (Int'l Version),0.523,0.884,2,-5.581,0,0.461,0.331,2e-06,0.356,0.283,87.275
168,Shut It Down,Drake,Thank Me Later (Int'l Version),0.582,0.437,9,-9.302,0,0.07,0.412,0.0,0.0978,0.401,119.944
169,Unforgettable,Drake,Thank Me Later (Int'l Version),0.562,0.872,4,-5.108,0,0.118,0.0951,0.0,0.107,0.0722,156.107
170,Light Up,Drake,Thank Me Later (Int'l Version),0.482,0.907,8,-5.995,1,0.419,0.0945,0.0,0.151,0.212,86.121
171,Miss Me,Drake,Thank Me Later (Int'l Version),0.429,0.864,2,-5.975,1,0.604,0.081,0.0,0.331,0.332,100.832
172,Cece's Interlude,Drake,Thank Me Later (Int'l Version),0.382,0.6,9,-6.881,0,0.0338,0.0544,5.26e-06,0.115,0.226,95.126
173,Find Your Love,Drake,Thank Me Later (Int'l Version),0.625,0.613,6,-6.005,0,0.173,0.0209,0.0,0.0286,0.738,96.033
174,Thank Me Now,Drake,Thank Me Later (Int'l Version),0.499,0.771,8,-4.85,1,0.42,0.279,0.0,0.119,0.748,76.222
175,Best I Ever Had,Drake,Thank Me Later (Int'l Version),0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161
176,Lust For Life,Drake,So Far Gone,0.462,0.422,6,-10.381,1,0.175,0.939,0.0327,0.108,0.0853,87.364
177,Houstatlantavegas,Drake,So Far Gone,0.683,0.695,1,-6.798,0,0.0574,0.393,0.00124,0.124,0.406,135.337
178,Successful (feat. Trey Songz & Lil Wayne),Drake,So Far Gone,0.562,0.544,8,-5.065,1,0.369,0.536,0.0,0.17,0.231,159.517
179,Let’s Call It Off (feat. Peter Bjorn and John),Drake,So Far Gone,0.79,0.731,9,-4.607,0,0.0327,0.00427,0.29,0.157,0.938,127.403
180,November 18th,Drake,So Far Gone,0.749,0.476,11,-11.147,0,0.507,0.579,0.0,0.1,0.534,71.937
181,Ignant Shit (feat. Lil Wayne),Drake,So Far Gone,0.591,0.846,7,-3.687,1,0.276,0.186,0.0,0.463,0.121,94.795
